Language_name,I,all,ash,bark,belly,big,bird,bite,black,blood,bone,breast,burn,claw,cloud,cold,come,die,dog,drink,dry,ear,earth,eat,egg,eye,feather,fire,fish,flesh,fly,foot,full,give,good,grease,green,hair,hand,head,hear,heart,horn,hot,kill,knee,know,leaf,lie,liver,long,louse,man,many,moon,mountain,mouth,name,neck,new,night,nose,not,one,path,person,rain,red,root,round,sand,say,see,seed,sit,skin,sleep,small,smoke,stand,star,stone,sun,swim,tail,that,this,tongue,tooth,tree,two,walk,water,we,what,white,who,woman,yellow,you
A Tong,aN,,,,,,,,,th~3y,kereN,muth~ay,,,,,rai,th~3i,k3i,r3N,,nakh~al,,,,m3kren,,wal,na,,,,,,,,,,Cak,,na,,kh~oroN,,,Cak3w,,Cak,,pith~3n,,kh~3r3k,,,,hab3ri,,bimuN,,pidan,wal,nakh~uN,,roNsa,ram,morot,,,,,,,nuk,,,kh~ol,,,,,aski,patal,raNsan,,,,,th~3lapak,wa,pan,roNni,,t3y,na7naN,,,,,,naN
Aasax,,,,,,,,,,sa7aka,farit,liba,,,,,dah,ga,kite,wat,,iatara,,,,ilat,,iogot,siNiri,,,,haS,,,,,,moNok,,has,,hadoN,,,Nuluet,,debiya,,dowo,,7ita,,,,de7ok,,7imok,,7amba,eramesa,iriNa,,kinde,Simut,7iduk,,,,,,,7adam,,,,,,,,7alalaia,de7ok,7ajit,,,,,Seferank,liga,kaSiN,Lam,,ma7a,,,,,,,
Abar,,,,,,,,,,3nSy$3m,kafo,b3n,,,,,th~i,ph~i,bi,mu,,toNo,,,,cihi,,goho,su,,,,,,,,,,can,,No,,kp~aha,,,,,j3n,,,,SiNk~ohogb~oN,,,,,,iya,,,tu,ny~3N,,kumu,can,uno,,,,,,,caN,,,gobo,,,,,,,uwaha,,,,,lam,c3n,ti,fin,,any~a,,,,,,,
Abasakur,,,,,,,,,,k3njira,oto,mEN,,,,,t3pi,muy,iko,,,piga,,,,musak,,mutu,ara kasua,,,,iri,,,,,,kotokw~ar,,migimat,,,,,muku,,,,kama5i5i,,kuN,,,,ikam,,mu5i,,su3d,kaniNga,masapE,,ut3m3t,wE,,,,,,,,k3ga,,,gugu,,,,,koyaN,mopuya,mara,,,,,yawEs,n3k,n3m,arasa,,y3k,gag,,,,,,n3N
Abau,hakwe,,,,,,,,,5oh,i,,,,,,tE,,nwoh,,,,,,,nene,,ya,nom,,,,,,,,,,iha,,unwak,,,,,,,ma,,,,a,,,,mtnu,,utu,,,nal,kasau,,plin,,,,,,,,,ila,,,ouhi,,,,,,,ei,,,,,sanE,,nop,pileis,,hu,hlom,,,,,,hunkwe
Abau 2,ha,,,,,,,,,nioh,oiow,mu,,,,,le,lokrue,nwoh,lowswa,,nweyk,,,,nene,,yia,ai,,,,,,,,,,iha,,lonuayk,,,,,,,nowma,,,,,,,,mnuw,,uru,,iwon,arawh,kasaw,,eyn,yerki,uwrsaney,,,,,,,lira,,,ohi,,,,,,mein,ey,,,,,sane,nays,now,eys,,hu,hron,,,,,,hwon
Abaza,sara,,,,,,,,,Sy~a,bXw~3,gw~Cp3,,,,,Xara,psra,la,Zw~ra,,l3mha,,,,la,,mca,pslaCw~a,,,,aznata,,,,,,"nap""3",,aXara,,"Cw""3Xw~a",,,Sy~amqa,,bxy~3,,"C""aC""a",,"c""a",,,,xw~a,,xy~3z,,"S""3c",waq3,"p3nc""a",,"zak""3",,"Xw~3Cw""y$Xw~3s",,,,,,,bara,,,Cw~azy~,,,,,"ayaCw""a","haqw""3",mara,,,,,bz3,p3c,"c""la",Xw~ba,,c3,Sw~ara,,,,,,w3ra
Abe,m3,,,,,,,,,,efy~e,oku,,,,,a,,xo,no*,,roko,,,,aE*,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,fa5i,,,,pw~opw~o,orugb~u,Ngo,,,,xo,,,,,,,kp~o,,,,,,,,mfnE*,kp~e,Ngu,,,,,,,ti,anu*,,miji,el3,,,,,,f3
Abipon,,aoge,aCi,aoelag,,laten,eteg,ag,aor,aoig,ahaor,aCiC,ahimag,enaC,,ata,aneg,aham,eteg,a5am,oah,ketal,alo,aeg,kaoe,,eteg,kat,noai,oaig,aC,aCaq,,aC,aoap,epag,ikalk,eoe,apaken,apa5ige,oahipaC,aoel,ahaC,,aham,eleokete,arai,eteg,ao,ank,lareg,oapa,ioale,aier,erg,ah,ag,akala,kahate,,nehaol,kat,Ci,,aC,,aneg,aoig,hakam,,apaog,akaC,arogena,peta,a5a,elerk,aC,eneCi,ehala,,erg,ailig,grahaolai,al,keit,,,aCi,ao,oahi,,aoa,enarap,,ekn,alag,hegm,oanerm,aoig,
Abirpara Mahali,in,,,,,,,,,mayom,jaN,,,,,,hEju7,goit,SEta,nu,,lutur,,,,mEt,,SENgEl,haku,,,,pEreit,,,,,,ti,,anjom,,diriN,,,gunth~i,,Sakam,,,,,,,,buru,,nutum,,nawa,ninda,mu,,mit,dahar,hor,,,,,,,lEl,,,harta,,,,,ipil,dh~iri,Cando,,,,,alaN,data,darE,baria,,da7,abu,,,,,,am
Abkhaz,sara,,,,,,,,,Sy~a,baXw~,gw~3,,,,,ara,psra,la,Zw~ra,,l3mha,,,,la,,mca,ps3c,,,,zna,,,,,,"nap""3",,hara,,"tw""3Xw~a",,,Sy~amx3,,bxy~3,,"gw~acw""a",,"c""a",,,,Sy~xa,,xy~c,,"C""a","c""x","p3nc""a",,"ak""3",,waXw~3,,,,,,,bara,,,cw~a,,,,,"yacw""a",xahw~,mra,,,,,b3z,xap3c,"c""la",Xw~ba,,c3,Sw~ara,,,,,,wara
Abnaki Eastern,,,,,,,,,,bagakaw,wsk$aw,bobos,,,,,paio*muk,,adia,kadosmim3k,,wd~awagw~,,,,ms~izukw~,,skw$3da,namas,,,,,,,,,,w3lji,,taps3do*zik,,askan,,,mk~3dukw~,,wanibagw~,,ms~kw~3n,,k3mo*,,,,wajo,,,,pildowi,t3bokw~,wj~o*l,,paz3go,o*wd3sis,pm~owsowinno,,,,,,,namiho*muk,,,,,,,,alakws$,s3n,kizos,,,,,wilalo,wibid,abazi,nis,,n3bi,niona,,,,,,gia
Abnaki Western,nia,,,,,,,,,bagakan,oskan,dodos,,,,,baji,macina,alemos,gogadosmi,,otawagw~,,,,sizegw~,,skw~eda,namas,,,,besanta,,,,,,eld,,debestamasi,,askan,,,kedegw~,,wanibagw~,,skw~en,,akemo,,,,waco,,wizw~ogan,,wsk$i,,col,,bazegw~en,owd~isiz,bemozowinno,,,,,,,bazobi,,,madagen,,,,,alakw~a,asen,gizos,,,,,ilalo,ibid,abazi,niz,,nebi,giona,,,,,,gia
Abron,,,,,,,,,,mogya,,koko,,,,,,,qia,,,aso,,,,ani,,gy~a,agiene,,,,,,,,,,sa,,,,,,,kotogie,,,,,,,,,,bopo,,di,,,,ejhini,,eko*,ewan,,,,,,,,,,,,,,,,esrama,,eyia,,,,,tekerema,si,dia,e5o*,,enzio,,,,,,,
Abu Arapesh,ei7,,,,,,,,,usibel,fifikl,numabis,,,,,ha7i,ka7,nubat,,,,,,,naim,,unih,akuh,,,,si7ir,,,,,,lakl,,mine7,,,,,,,,,,,,,,,du7it,,,,nami,uwab,mutu7,,et,iah,alifen,,,,,,,ti,,,,,,,,,utam,uwah,,,,,ahaka,,lawak,bi,,abal,afa,,,,,,ina7
Abua,m3,,,,,,,,,3bal,okpo,,,,,,tu,mux,Exox,puxol,,Eberi,,,,ekpe8ien,,En3En,enE,,,,,,,,,,E83xEx,,nExEn,,,,,ekum,,,,,,,,,,,,E8ien,,,E8uxul,izon,,nin,eten,,,,,,,,m3n,,,ozu,,,,,,E8ixix,erumu8io,,,,,Enem,olEi,oreni,3ial,,Emum,ior,,,,,,nE
Abui,,,,,,,,,,we,hetaipa,taraihiang,,,,,me,mong,kai,buk,,tawei,,,,tieng bika,,ara,afu,,,,vemidi,,,,,,,,mahia,,ha7muk,,,ta7babuk,,tala,,tomi,,bikiang,,,,buku watika,,tane,,tifa,tungtama,taminfa,,nuku,safoko,ama,,,,,,,herei,,,kul,,,,,fir,vi,wari,,,,,taleifi,taweiti,7bata,ayoku,,ye,,,,,,,
Abui Atimelang,,,,,,,,,,newalna,nEtEpay,notuk,,,,,namE7,moN,kay,bud,,neyata,,,,niyEn,,ara,afu,,,,,,,,,,nataN,,,,,,,bnabaleybuku,,ata,,,,bikEN,,,,loma,,nanE7,,tifa,akuni,namuNfal,,nuku,lela7,,,,,,,,halal,,,noposiN,,,,,fur,wi,wari,,,,,nalifi,nEtiN,iyEri,oki,,hiya7,,,,,,,
Abui Makadai,,,,,,,,,,wE,taypa7,nEtik,,,,,tiyay,moni,kay,but,,naweyata,,,,niyaN,,ara7,afu,,,,,,,,,,nataN,,,,,,,nababu,,tala,,,,bikEN,,,,bukudaLEla,,nanE7,,fiha,tuntama,namin,,nuku,laqE,,,,,,,,Eni,,,nEkul,,,,,feri7,wi,uwEr,,,,,nalifil,nawEt,bata7,ayoku,,ya,,,,,,,
Abui Takalelang,wi,,,,,,,,,kuyo,bitai,omur,,,,,fui,woloNoi,oto,maokiloi,,biko,,,,fu,,ohol,ofu,,,,hapikoi boto,,,,,,howati,,homipoN,,kusiN,,,omokoN,,moku,,moyol,,bikaoN,,,,huimoyo,,ado,,rido,wado,mio,,oronu mio,yaN,tai bikil,,,,,,,firai,,,mokilo,,,,,bw~oko,tokoto,bui,,,,,lol,dokun,fal,yoi,,,odi,,,,,,kupoi
Abujhmaria,,,,,,,,,,nettur,,bommo,,,,,way,dol,nai,un,,keu,,,,kan,,kis,min,,,,,,,,,,kay,,kenTa,,,,,gutkal,,ak,,tandki,,ir,,,,matta,,pader,,puna,narka,mosor,,wondi,dauha,mane,,,,,,,hur,,,tol,,,,,uka,kal,podd,,,,,,pal,mara,rend,,er,mat,,,,,,nimma
Abul,5i,,,,,,,,,Nin,luy,godu,,,,,il,gw~ay,Nin,gw~iyi,,gEni,,,,gay,,iga,gw~um,,,,gi5adu,,,,,,di,,diN,,dil,,,lrko,,gEni,,awE,,g3nd~EgEl,,,,lEn,,iri5,,iyaN,g3lEy,ladun,,gw~odippo,day,gw~iTi,,,,,,,gw~aN,,,girna,,,,,lurom,g3dol,aNin,,,,,diN3la,gaNat,gw~arE,ram,,Naw,anaNa,,,,,,Na
Abun,ji,,,,,,,,,de,,,,,,,ma,kw~op,nd~ar,da,,git,,,,gro,,,boge,,,,sEs,,,,,,sy~im,,jam,,,,,,,,,,,,,,,banbo,,gum,,be,noru,gwembo,,dik,os,ye,,,,,,,me,,,da,,,,,,,kam,,,,,,,kw~e,we,,Sur,men,,,,,,
Abung Sukadana Lampung Nyo,5o7,,,,,,,,,Xoh,boluN,sus3o,,,,,m3g3X,mot3y,kuyu7,Ni*num,,Tupi3N,,,,mot3o,,opuy,pu53*o*,,,,,,,,,,puN3*o*,,d3N3y,,,,,,,buluN,,ot3y,,kut3o,,,,,,g3loX,,opoy,dibiNoy,iXuN,,soy,XoNloyo,,,,,,,,ninu7,,,bobo7,,,,,bitoN,bot3o,,,,,,m3*o*,k3di3s,,w3o,,woy,ikom,,,,,,nik3o
Acateco San Miguel Acatan,hain,smasanil,"stiq""a7il tan",yin,"k""ul",miman,"c""ikin",Ci7,"q""ex","Cik""","b""ax",im,"T""a","isq""ax",asun,sik,hul,kam,"T""i7","uk""e",taxin,Tikin,"T""oT""",lo7,hos,sat,Sil,"q""a7",Tay,"Cib""e","ek"" hururox",axan,nonax,a7,"waT""",manteka,yaS,Sil,"q""ab""",holom,"ab""e",piSan,"uk""a7",kax,ma7 kamox,penek,otax,Sax te7,telan,"q""ex",hoxan,"uk""",winax,miman taS,S7~aw,wonan,ti7,"b""i",nu7,"ak""","ab""al",Tam,man,hun,"b""e",anima,"nab""",kax,Se7 te7,Soyan,"k""a Cen",al,il,"sb""aq"" te7",Cotan,"T""um",wey,yaliS,"muk""",linan,weykan,"C""en","k""u",ma7 a7,ne,hu7untu7,hunti7,a7,e,te7,"kab""","b""ey",ha7,heonti7,Tetal,sax,maSTekel,iS,"q""an",haCti7
Aceh,lon,,,,,,,,,doroh,tuleuN,obin,,,,,,mote,osEe,Tep,,geuli5euN,,,,moto,,opui,euN7ot,,,,peunoh,,,,,,Toroe,,deuNo,,,,,teuot,,on,,ote,,gutEe,,,,gunoN,,non,,boro,molom,idoN,,so,TuroN,ureureN,,,,,,,olon,,,ulet,,,,,bintoN,botEe,moto uroe,,,,,diloh,gigoe,bo7,duwo,,,geuto5oe,,,,,,goto
Achaemenid Aramaic,,,,,,,,,,,,,,,,,7ty,myt,,,,,,,,Xayin,,,,,,,,,,,,,yad,,SmX,,,,,,,,,,,,,,,tX~ur,,Sum,,,lele,,,Xd,oraX,3naS,,,,,,,Xzy,,,,,,,,,eben,SmS,,,,,liSan,,,tren,,myn,,,,,,,
Achagua,nuya,,,,,,,,,iZai,iyahi,ini,,,,,inu,manaliyi,auli,iZa,,wiba,,,,tui,,CiCai,kubai,,,,kaSiamui,,,,,,kahi,,emi,,Cala,,,yuZui,,banabai,,Calide,,witeniSi,,,,duli,,,,wali,,daku,,bakeZi,inihba,Coniwenai,,,,,,,kaba,,,,,,,,sali,iba,kaiwia,,,,,inane,,huba,Camai,,Siatai,waya,,,,,,hiya
Achang,No,,,,,,,,,sui,aZau,,,,,,Z3,sa,xui,So7,,niCua,,,,5oci7,,poi,NaSua,,,,pZ3N,,,,,,lo7,,kZua,,kh~Zau,,,ch~i5o7,,axro7,,aS3N,,San,,,,pum,,a5iN,,S3k,nich~ot,nixoN,,ta,xamZua,Co,,,,,,,en,,,aZ3,,,,,kh~Ze,liNko7,nimo,,,,,so,coi,saNceN,s3k,,ti,Notu7,,,,,,nuaN
Ache,Co,,,,,,,,,bu373,ika*,ka*7a*,,,,,ejo,mano,baegi,t3ku,,nabi,,,,Ca*7a*,,tata,pira,,,,e*bema,,,,,,ipo,,we*du,,aCi*,,,kmana,,w3ra o7o,,p3a7a,,k3,,,,kua*7a*,,b3kuap3re,,kreware,Ca*wa*,p3ta,,etakra*,ape,aCe,,,,,,,meCa*,,,pire,,,,,tata 3wat3,ita,kre373,,,,,kbere,a*7a*,w3ra,miro*,,373,naje,,,,,,je
Acholi,on,,,,,,,,,ramo,Cogo,tuno,,,,,bino,to,gw~ok,moto,,it,,,,woN,,moC,raC,,,,poN,,,,,,CiN,,wi5o,,tuN,,,CoN,,oboka,,Cw~i5,,5ogi,,,,got,,5iN,,5an,dy~a wor,um,,oCal,yo,dono,,,,,,,nano,,,lo,,,,,lokolotw~a,gwaN,CaN,,,,,lap,lok,yot,oryo,,pi,won,,,,,,in
Acholi 2,an,,,,,,,,,rEmo,Cogo,tun kor,,,,,bino,8o,guok,mato,,it,,,,waN,,maC,rEC,,,,opoN,,,,,,CiN,,winyo,,tuN,,,CoN,,pot yat,,aCiny,,nyuggi,,,,got,,nyiN,,nyiEn,otiEno,um,,aCiEl,yo matiri,dano,,,,,,,nEno,,,dEl,,,,,lakalatwE,kidi,CiEN,,,,,lEp,lak,yat,ariyo,,pi,wan,,,,,,yin
Achuar,wi,,,,,,,,,nump~a,ukunC,munc~u,,,,,wini,xaka,yawa,mutin,,kuwiS,,,,xi,,xi,namak,,,,kak piyaku,,,,,,uwex,,antuk,,antiri,,,tikiS,,nuka,,akap,,tema,,,,mura,,nar,,yamaram,kaSi,nuxi,,,xinta,ainc~,,,,,,,xis,,,nuwap,,,,,ya,kaya,eca,,,,,inai,nai,numi,ximiar,,yumi,iti,,,,,,ame
Achumawi,it,,,,,,,,,aXti,joje,i7cit,,,,,unn,iumm,a7lamoki,iss,,isat,,,,asa,,mallis,alh~,,,,aXtuki,,,,,,il,,i7tew,,puwa,,,qoway,,jilape,,iwe,,a7mij,,,,aqo,,tiliqat3ke,,palawi,maxek7j3,yame,,hamis,itew,is,,,,,,,inima,,,toqoluji,,,,,jamiq,alisti,jol,,,,,iple,ija,aswo,ha7aq,,as,ittu,,,,,,mi7
Adang,,,,,,,,,,fi,talopo,to7,,,,,ma,mini7,bEl,na7,,awEbEhE,,,,7ENwai,,awai,ab,,,,wutulu,,,,,,,,7alEpEN,,7amu7u,,,7E pElini,,ti bEhE,,om,,7ony,,,,bini,,7aniN,,habara7,dil 7u7u,aimbui,,nu,se7bur,nami,,,,,,,dunu7,,,7ui,,,,,ib,fui,fEd,,,,,talEb,nawEhEN,ti,alu,,si,,,,,,,
Adang Pitung,nari,,,,,,,,,fui7,tarop,to7,,,,,ho,min,bal,na7,,afal,,,,avain,,ofoin,ob,,,,afaN,,,,,,ataN,,alapaN,,omu7,,,aparih,,bah,,domur,,ut,,,,doi,,ani,,habar,diSpono,amiN,,nu7,sabur,nama,,,,,,,adun,,,uil,,,,,ibiN,foi,fad,,,,,alibuN,afiN,ti7,alo,,,piri,,,,,,ari
Adele,,,,,,,,,,,naNk~uba,5EN,,,,,ba,ku,kp~E,5o*,,tEN,,,,nu*,,taN,soN,,,,yo,,,,,,lo7,,no*,,yElE,,,,,fa,,,,,,,,,,yere,,fufoN,,,,deke7,sele,tEni,,,,,,,,,,,,,,,Nolobi,ta,fila,,,,,,5a,yoN,5o*,,tu,Ete,,,,,,awo
Adhola,an,,,,,,,,,rEmo,cogo,th~uno,,,,,bino,th~o,gwok,madh~o,,yith~,,,,waN,,mac,rEc,,,,poN,,,,,,ciN,,wi5jo,,tuNe,,,coN,,pot,,cu5,,o5ogo,,,,got,,5i5,,5en,wor,wum,,acEl,yo,dh~no,,,,,,,nEno,,,del,,,,,,kidi,ceN,,,,,lEw,lak,yath~,ariyo,,pi,wan,,,,,,in
Adi Galo,No,,,,,,,,,i,lo,Co,,,,,a,hi,ki,t3,,ru,,,,53k,,3m3,Noi,,,,C3r,,,,,,lak,,ta,,r3bu,,,l3b3,,n3,,hin,,3k,,,,di,,amin,,li,ayo,pum,,aken,b3da,5i,,,,,,,ka,,,pin,,,,,kar,l3,lo,,,,,aro,i,h3,a5i,,isi,5unu,,,,,,no
Adilabad Gondi,nanna,,,,,,,,,nettur,bokka,,,,,,wa,sa,ney,unn,,kew,,,,kar,,kis,min,,,,mend,,,,,,kay,,kenj,,kor,,,,,aki,,taraki,,,,,,metta,,porol,,puna,narka,mosor,,undi,sarri,,,,,,,,sur,,,tol,,,,,sukkum,,pord,,,,,wenjer,pal,,rand,,er,mamat,,,,,,nima
Adioukrou,Em,,,,,,,,,mebl,luw,,,,,,ow,uw,owr,EgN,,loru,,,,5Emn,,El,oCn,,,,,,,,,,Ebu,,iri,,,,,luwrokp,,,,,,,,,,,,nin,,,nC~ok,logN,,5am,ebr,,,,,,,,EkN,,,lEl,,,,,,lebn,ligbn,,,,,Enm,nEn,likN,jo5,,mij,,,,,,,
Adnyamathanha,Nai,,,,,,,,,ati,muku,Nama,,,,,yana,inta,wilka,,,yuri,,,,mina,,atla,,,,,,,,,,,,,,,,,,,,,,yaNka,,,,,,,,mity~i,,mara,wiLty~a,yu5ty~uru,,upma4aka,,yura,,,,,,,naku,,,,,,,,,aty~5a,yuntu,,,,,yali,,witi,alpili,,,Nalpula,,,,,,ni4a
Adumanis Ulu Komering,5o7,,,,,,,,,Xoh,tuhlon,titi7,,,,,XotoN,moti,osu,Ninum,,TupiN,,,,moto,,opuy,iwo7,,,,,,,,,,puNu,,ondoNi,,,,,,,buluN,,hoti,,kutu,,,,,,goloX,,ompoy,dibiNi,iXuN,,soy,XoNxoyo,,,,,,,,lio7,,,bowo7,,,,,bintoN,botu,,,,,,mo,ipon,,Xuo,,uoy,sikom,,,,,,niku
Adyghe,s3,,,,,,,,,L3,"q""w~3pS""h~3","bX""3",,,,,"q""3k""w~3n","tL""3n",h3,y3Sw~3n,,"th~ak""w~3m",,,,n3,,"maS""w~3",pc3Z3y,,,,y3z,,,,,,,,z3x3x3n,,bZ3,,,L3gw~anj3,,th~ap,,"th~amS""3Xw~",,"c""3",,,,"q""w~3Sh~3",,"c""3",,"C""3",C3Sy~3,p3,,z3,,"c""3f3",,,,,,,L3w3n,,,"C""3Sw~3",,,,,Zyw$aw3,m3Zw~3,t3X3,,,,,bz3gw~3,c3,C3X3,"t""w3",,ps3,Sw~3,,,,,,w3
Adzera,ci,,,,,,,,,bi7,uru,sisu,,,,,ba,mamp~,iyam,num,,riNa,,,,mara,,caf,yafas,,,,fu7,,,,,,baNi,,riNant~agin,,,,,faga gusunt~uN,,gai yafan,,nugu iran,,gor,,,,mamai,,biNa,,fa7,sifu,yu,,bicint~a,sanab,garam gar,,,,,,,caNan,,,rini,,,,,Nant~am,tauf,gubu7,,,,,ma,nifu urun,gai,iru7 run,,mp~ui,agi,,,,,,agu
Afade,duaN,,,,,,,,,,,made,,,,,alu,,geleu,,,th~eme,,,,Ce,,hu,ke,,,,,,,,,,th~ede,,gasoNo,,,,,golnecece,,,,,,,,,,kaw,,,,,fade,care,,dipan,ftulo,,,,,,,,,,,,,,,,selage,,ce,,,,,inth~i,th~are,wahaN,wagasi,,hame,mufag,,,,,,ure
Afar,anu,,,,,,,,,Xabal,lafa,angu,,,,,EmEt,rab,kuta,aXub,,ati,,,,int~i,,gira,kulunt~a,,,,,,,,,,gaba,,obiy,,gasa,,,gulub,,ayufta,,tiro,,inkaXE,,,,XalE,,migaXa,,Xusba,bar,san,,inki,gita,saXadatu,,,,,,,abul,,,arab,,,,,Xutuk,da,aro,,,,,araba,modina,hada,lamay,,lE,nanu,,,,,,atu
Afar 2,anu,,,,,,,,,ab3la,l3fa,angu,,,,,emete,r3be,kuta,oXobe,,ati,,,,int~i,,gira,kulun,,,,,,,,,,g3ba,,obe,,gase,,,,,ayuf,,tiro,,inkaX,,,,Xale,,migaX,,Xusiba,b3ra,s3na,,ineki,gita,sihadatu,,,,,,,ubule,,,g3lbo,,,,,Xutukta,Ta,aro,,,,,araba,modina,XaTa,namaya,,le,nanu,,,,,,atu
Afi Amanda,,,,,,,,,,v3m,fu,mb~an3n,,,,,ba,we,biya,Nw~a,,du,,,,yiSi,,kusu,su,,,,ndy$En,,,,,,,,Ngw$a,,kw~ese,,,nu,,fy~o,,,,sal3u,,,,homb~oi,,yan,,afa,,jenu,,nifun,Sina,3u,,,,,,,mo,,,suga,,,,,Ngy$om,nadi,wElgw~an,,,,,numa,yi,End~i,vo,,mb~ig3m,,,,,,,
Afitti,,,,,,,,,,olE,ama,kasE,,,,,tar,luE,wul,dai,,5orwa,,,,aNwa,,mb3r,samak,,,,,,,,,,ata,,kidi,,gwurtun,,,kwu5uN,,laluwa,,mari5,,Nwuna,,,,motir,,ordoN,,5iri,tuni,Nwuta,,anda,bori,wi,,,,,,,tiNili,,,alko,,,,,midi,,niji,,,,,olo,Ngil,Sidara,armak,,boN,,,,,,,
Afoa,na,,,,,,,,,ilive,keniabi,opipe,,,,,lai,kelui,kovela,kw~aiana,,kepapi,,,,tabe,,3nami,gapila,,,,,,,,,,galatopute,,lanita,,,,,,,valupi,,kimaule,,iate,,,,itavi,,,,,guveteletai,,,koane,kani,,,,,,,,nukava,,,gotipe,,,,,imuli,evite,vatave,,,,,aivi,notoape,eate,atoloai,,ipe,nane,,,,,,nu
